Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
43.0,30.5,49.0,36.8,32.5,15.6,1981,Apr,34.56666666666667
114.0,152.6,92.3,115.5,136.2,141.4,1981,May,125.33333333333333
69.4,89.3,77.1,77.6,109.6,60.8,1981,Jun,80.63333333333334
72.0,63.3,35.5,86.4,55.4,34.8,1981,July,57.900000000000006
55.6,53.2,11.6,71.5,30.0,27.2,1981,Aug,41.516666666666666
179.9,242.6,102.8,129.2,132.3,126.3,1981,Sep,152.1833333333333
160.5,121.2,109.3,153.3,75.1,83.9,1981,Oct,117.21666666666665
113.5,72.2,48.8,112.2,76.5,68.9,1981,Nov,82.01666666666667
86.7,148.6,133.0,74.7,66.3,66.4,1981,Dec,95.95
78.9,187.5,50.2,99.9,85.6,76.2,1982,Jan,96.38333333333334
111.0,232.9,23.9,63.1,81.7,85.4,1982,Feb,99.66666666666667
135.5,164.8,45.4,126.6,108.3,118.2,1982,Mar,116.46666666666665
26.3,33.8,19.5,22.9,27.9,16.1,1982,Apr,24.416666666666668
74.9,94.6,59.6,81.9,71.1,72.5,1982,May,75.76666666666667
71.4,92.2,102.2,102.3,108.9,131.2,1982,Jun,101.36666666666667
24.8,22.3,9.2,16.5,24.3,22.3,1982,July,19.9
98.4,136.4,65.6,169.6,83.9,89.6,1982,Aug,107.25
94.9,146.2,84.0,111.8,80.2,74.8,1982,Sep,98.64999999999999
160.8,279.0,88.2,92.5,112.7,129.5,1982,Oct,143.78333333333333
138.5,194.9,128.9,139.1,138.7,133.2,1982,Nov,145.54999999999998
155.9,199.0,70.3,134.7,111.7,144.9,1982,Dec,136.08333333333334
137.2,192.2,63.8,149.8,146.9,134.2,1983,Jan,137.35
46.0,37.9,44.8,41.7,47.5,72.0,1983,Feb,48.31666666666666
87.5,124.8,61.0,106.2,98.4,72.0,1983,Mar,91.64999999999999
55.9,101.5,67.1,49.7,75.9,56.1,1983,Apr,67.7
87.8,118.9,79.1,52.9,113.8,88.7,1983,May,90.19999999999999
32.4,88.5,54.6,45.9,44.8,47.4,1983,Jun,52.26666666666666
38.5,20.3,18.1,24.3,14.8,12.6,1983,July,21.433333333333334
44.3,74.7,45.4,39.1,61.6,46.3,1983,Aug,51.900000000000006
109.5,204.8,76.6,69.2,116.3,106.1,1983,Sep,113.75
157.7,143.7,47.3,186.2,121.2,145.7,1983,Oct,133.63333333333333
42.5,90.7,21.3,28.1,41.3,44.6,1983,Nov,44.75
150.4,234.7,123.2,130.4,119.4,129.8,1983,Dec,147.98333333333335
195.7,247.7,99.0,183.8,125.6,193.8,1984,Jan,174.26666666666668
87.6,104.5,60.3,108.8,67.0,94.6,1984,Feb,87.13333333333333
47.5,51.2,53.2,42.4,73.0,34.5,1984,Mar,50.300000000000004
30.5,90.3,32.6,36.6,41.3,46.0,1984,Apr,46.21666666666667
39.4,41.3,34.4,28.1,16.7,27.5,1984,May,31.23333333333333
72.4,42.7,38.1,59.5,52.0,33.4,1984,Jun,49.68333333333334
49.3,79.3,30.8,44.9,42.6,35.2,1984,July,47.01666666666667
51.9,115.1,95.0,64.5,116.8,65.0,1984,Aug,84.71666666666667
92.9,104.6,76.7,117.7,107.7,82.3,1984,Sep,96.98333333333333
200.4,206.4,56.2,119.4,103.2,96.2,1984,Oct,130.3
245.1,240.7,97.2,113.1,119.1,105.7,1984,Nov,153.48333333333335
129.4,186.6,87.7,101.5,126.8,89.9,1984,Dec,120.31666666666666
84.2,110.5,66.5,106.2,56.1,34.1,1985,Jan,76.26666666666667
28.8,110.7,52.0,33.6,43.8,33.6,1985,Feb,50.416666666666664
104.9,196.0,72.5,100.7,70.2,91.1,1985,Mar,105.89999999999999
82.0,70.8,40.2,77.9,55.8,56.3,1985,Apr,63.833333333333336
118.8,131.6,70.1,56.4,110.8,71.4,1985,May,93.18333333333334
56.4,112.6,78.5,53.7,65.7,74.6,1985,Jun,73.58333333333333
80.4,66.5,107.2,152.3,105.1,94.8,1985,July,101.05
